name1	name2	scaf_num	mean_popANI	mean_conANI	sum_pop_sites	sum_con_sites	pMA	sd_popANI	sd_conANI	median_popANI	median_conANI	watershed.1	watershed.2	watershed_diff	SNV_mbp.1	SNV_mbp.2	flowConnected	flowDistTotal	flowDistNet	FlowConnection	mean_pi.1	median_pi.1	mean_pi.2	median_pi.2	pi_diff_mean	pi_avg_mean	pi_avg_median
PH2015_01D	PH2015_01U	179	0.9999626492925539	0.9976822521762005	194	14930	0.9870060281312794	1.2137992694198262e-4	0.0010290798456002235	1	0.9977089783281734	17	17	0	8075.783024598201	3867.744527821009	up	11.265683977623667	11.265683977631852	Yes	0.003438045670773367	0.00216288169885126	0.0011671214784061672	6.635927663737329e-4	0.0022709241923671995	0.002302583574589767	0.0014132372326124965
PH2015_01D	PH2015_02D	175	0.9988436475956507	0.995000555356291	6693	30373	0.7796398116748428	0.0010070543971440562	0.003181727248339648	0.9990850960151954	0.9955913791516218	17	527	510	8075.783024598201	4631.026982805438	down	-26577.78231115706	-26577.78231115706	Yes	0.003438045670773367	0.00216288169885126	8.928576881552358e-4	5.069431042511452e-4	0.002545187982618131	0.0021654516794643013	0.0013349124015512026
PH2015_01D	PH2015_02U	174	0.99933435456033	0.9958349119656135	3931	25351	0.8449370833497692	7.909233329429016e-4	0.002722521164693238	0.9995387871340002	0.9963335697607809	17	527	510	8075.783024598201	5062.995262421735	down	-26569.588757493177	-26569.588757493184	Yes	0.003438045670773367	0.00216288169885126	0.0010778617559200198	5.915888991111505e-4	0.002360183914853347	0.0022579537133466934	0.0013772352989812053
PH2015_01D	PH2015_03D	174	0.9983941792823987	0.9937959446944769	8397	36691	0.7711427870594969	0.0019373201396971696	0.0035982993860411375	0.9989129863008284	0.9946496979876394	17	39	22	8075.783024598201	8087.309326815701	NA	-26706.22897296863	-26131.643286870152	No	0.003438045670773367	0.00216288169885126	0.0017876090063136917	8.699427461041909e-4	0.0016504366644596751	0.002612827338543529	0.0015164122224777254
PH2015_01D	PH2015_03U	174	0.9980508874595242	0.9936050280470876	10559	37580	0.7190260777009048	0.0021043755071839597	0.003956422490824072	0.9985254601322008	0.9944805537674548	17	39	22	8075.783024598201	8032.492377897592	NA	-26807.232573260593	-26030.639686578186	No	0.003438045670773367	0.00216288169885126	0.001776672552802273	7.73047936047655e-4	0.0016613731179710939	0.00260735911178782	0.0014679648174494575
PH2015_01D	PH2015_04D	174	0.9976597731424508	0.9934544281363509	12957	38563	0.6640043565075331	0.0024308437849082415	0.003971037855707445	0.9982067143863373	0.9944395579683993	17	39	22	8075.783024598201	7096.985523500522	NA	-26503.212237515985	-26334.660022322816	No	0.003438045670773367	0.00216288169885126	0.0013993020124908498	5.744529673931686e-4	0.002038743658282517	0.0024186738416321083	0.0013686673331222143
PH2015_01D	PH2015_04U	174	0.9979635481553932	0.9934838381601314	11074	38410	0.7116896641499609	0.0022896825830893857	0.003979984335703578	0.9984650443367025	0.9943441812172156	17	39	22	8075.783024598201	7159.307971537003	NA	-26553.212237515443	-26284.66002232334	No	0.003438045670773367	0.00216288169885126	0.0015851020314393608	6.901888110691923e-4	0.001852943639334006	0.002511573851106364	0.0014265352549602262
PH2015_01D	PH2015_05S	172	0.9983714122622586	0.9948152936434667	9608	31180	0.691853752405388	0.00162779840332143	0.003083881593157779	0.9987842774038095	0.995287875966774	17	653	636	8075.783024598201	5573.771282780937	down	-33865.168178418055	-33865.16817841807	Yes	0.003438045670773367	0.00216288169885126	9.317060768989822e-4	7.199860290362237e-4	0.0025063395938743844	0.0021848758738361746	0.0014414338639437418
PH2015_01D	PH2015_09S	174	0.9974581160229712	0.9941124024749153	14935	34624	0.5686518022181146	0.002008449142244393	0.003371981839332727	0.9977484397680626	0.9947732620322354	17	531	514	8075.783024598201	6781.352480218989	NA	317993.7245982969	39982.09442033441	No	0.003438045670773367	0.00216288169885126	6.607075728846282e-4	4.7589261252600773e-4	0.0027773380978887386	0.0020493766218289975	0.0013193871556886339
PH2015_01D	PH2015_10S	178	0.9989323937242253	0.9947123376321978	5852	31652	0.8151143687602679	0.0011151474901460463	0.0030335594520755427	0.9992188739382457	0.995320026330581	17	951	934	8075.783024598201	8134.218696305526	NA	316170.7465645744	38159.116386611946	No	0.003438045670773367	0.00216288169885126	0.0022978373827638667	0.0011236436380063222	0.0011402082880095001	0.0028679415267686167	0.001643262668428791
PH2015_01D	PH2015_11S	179	0.9985296948647988	0.9956390481442642	9325	28165	0.6689153204331617	0.001203630034647393	0.002256039253146621	0.9987130815262854	0.995858319587682	17	96	79	8075.783024598201	2996.8385765499256	NA	-184738.99405324663	-93272.63612471588	No	0.003438045670773367	0.00216288169885126	5.428445305011195e-4	4.5945273863301495e-4	0.0028952011402722474	0.0019904451006372433	0.0013111672187421375
PH2015_01D	PH2015_12D	180	0.9985766905297847	0.9959660220473435	9660	26830	0.6399552739470742	0.001013919780911772	0.0017577470462536188	0.9987046426472265	0.9960799555784436	17	160	143	8075.783024598201	586.2330918528343	NA	-177402.84651459358	-100608.78366336891	No	0.003438045670773367	0.00216288169885126	5.437183798160603e-4	5.03035249971695e-4	0.0028943272909573063	0.0019908820252947136	0.0013329584744114775
PH2015_01D	PH2015_12U	180	0.9985768164684553	0.9959641243631953	9661	26834	0.6399716777222926	0.0010141717966120896	0.0017615140544606583	0.9987046426472265	0.9960841370004988	17	160	143	8075.783024598201	578.4595391945205	NA	-177412.84651459355	-100598.78366336893	No	0.003438045670773367	0.00216288169885126	4.536056252223287e-4	4.27556446954358e-4	0.0029844400455510383	0.0019458256479978476	0.001295219072902809
PH2015_01D	PH2017_01_SCD_O_A	174	0.9987223792823837	0.9956853321227062	7678	25898	0.703529230056375	0.001476496812037211	0.0029650869782994367	0.9989714666444729	0.996255056765972	17	527	510	8075.783024598201	6782.692747918698	down	-26577.78231115706	-26577.78231115706	Yes	0.003438045670773367	0.00216288169885126	9.674372778700483e-4	7.854147767468732e-4	0.0024706083929033184	0.0022027414743217076	0.0014741482377990667
PH2015_01D	PH2017_02_FOX_O_A	179	0.9983901726570342	0.9950878363493818	10160	31989	0.6823908218450092	0.0013660470422673873	0.002437567383743906	0.9985866492715808	0.9955174310805028	17	2.8	14.2	8075.783024598201	6469.874266806555	NA	-3155.110122465448	-3028.774589616456	No	0.003438045670773367	0.00216288169885126	0.0011720472452992456	8.111671219027673e-4	0.002265998425474121	0.002305046458036306	0.0014870244103770136
PH2015_01D	PH2017_03_ELD_O_A	180	0.9998515643030326	0.9970684058780739	927	19379	0.952164714381547	4.1890277078914504e-4	0.0015882845303216448	1	0.9973363705056012	17	17	0	8075.783024598201	9140.491685247245	up	41.26568397761548	41.26568397763185	Yes	0.003438045670773367	0.00216288169885126	0.0033319350594453795	0.0020053828645116845	1.0611061132798734e-4	0.0033849903651093733	0.0020841322816814722
PH2015_01D	PH2017_04_SCI_O_A	180	0.9998810791222098	0.9973547187976942	686	17593	0.9610072187801967	3.173048713288582e-4	0.0017563140218910414	1	0.997536419827268	17	114	97	8075.783024598201	8622.478219309613	NA	2282.227076701481	2031.558873781294	No	0.003438045670773367	0.00216288169885126	0.0031846605568927274	0.001728746741687548	2.5338511388063936e-4	0.003311353113833047	0.001945814220269404
PH2015_01D	PH2017_05_CCC_O_A	174	0.9981680472724429	0.9935930217788786	9826	38019	0.7415502774928325	0.0021515712213634798	0.003899670209877582	0.9986973136789032	0.994477513655458	17	39	22	8075.783024598201	7356.863430474149	NA	-26479.189490800214	-26358.68276903857	No	0.003438045670773367	0.00216288169885126	0.001855144467585997	0.0010181504575020872	0.0015829012031873698	0.002646595069179682	0.0015905160781766736
PH2015_01D	PH2017_06_SFM_O_A	178	0.999572743956263	0.9955462982692949	2185	28643	0.9237160911915652	8.305768992260509e-4	0.002466326491998795	0.9998553573096007	0.9958707029383895	17	40	23	8075.783024598201	8801.806037530712	NA	15218.849879457477	14968.181676537322	No	0.003438045670773367	0.00216288169885126	0.0023895842177167055	0.001294348070417617	0.0010484614530566613	0.002913814944245036	0.0017286148846344385
